id,report,createdAt,updatedAt,ReporterId,SuspectId
14,They do not go into enough detail and do not demonstrate creative thinking.,2020-09-03 03:24:23.636+00,2020-09-03 03:24:23.636+00,2638,2604
15,"His comment, “thank you China,” is inappropriate given that many asian Americans may be on the social media platform and unfairly singled out.   ",2020-09-03 19:38:37.22+00,2020-09-03 19:38:37.22+00,2593,2560
16,I think it is a bot account,2020-09-03 20:21:50.501+00,2020-09-03 20:21:50.501+00,2588,2604
17,Possible bot,2020-09-03 20:40:12.567+00,2020-09-03 20:40:12.567+00,2588,2638
18,Bot?,2020-09-04 13:31:00.079+00,2020-09-04 13:31:00.079+00,2588,2658
19,r2,2020-09-04 15:23:13.87+00,2020-09-04 15:23:13.87+00,2711,2654
20,Fake profile,2020-09-04 16:26:47.842+00,2020-09-04 16:26:47.842+00,2603,2455
21,r2,2020-09-04 17:43:56.602+00,2020-09-04 17:43:56.602+00,2649,2658
22,r2,2020-09-04 21:06:58.771+00,2020-09-04 21:06:58.771+00,2704,2441
23,r2,2020-09-04 21:09:18.123+00,2020-09-04 21:09:18.123+00,2704,2658
24,r2,2020-09-04 21:09:42.661+00,2020-09-04 21:09:42.661+00,2704,2530
25,He acts like a bot,2020-09-04 21:25:59.49+00,2020-09-04 21:25:59.49+00,2711,2658
26,seems like a bot. fake picture (only pic possibly on dartpost) and broken english. Something is off here.,2020-09-04 22:22:26.904+00,2020-09-04 22:22:26.904+00,2655,2658
27,multiple repeat posts. seems fake.,2020-09-04 22:23:41.362+00,2020-09-04 22:23:41.362+00,2655,2426
28,"one of his posts is inappropriate and I think he's spamming the site.",2020-09-04 22:42:25.932+00,2020-09-04 22:42:25.932+00,2750,2658
29,r2,2020-09-04 23:51:58.449+00,2020-09-04 23:51:58.449+00,2575,2658
30,is posting unrelated links in comments,2020-09-05 00:00:32.198+00,2020-09-05 00:00:32.198+00,2679,2658
31,"Very loose with the facts, seems to be attempting to incite people rather than have meaningful debates.",2020-09-05 00:23:30.184+00,2020-09-05 00:23:30.184+00,2610,2658
32,r2,2020-09-05 00:57:28.249+00,2020-09-05 00:57:28.249+00,2718,2658
33,Derogatory and sexual content posted.  ,2020-09-05 01:25:03.695+00,2020-09-05 01:25:03.695+00,2593,2658
34,His posts seem to be off. I think its a bot,2020-09-05 01:29:39.291+00,2020-09-05 01:29:39.291+00,2608,2658
35,"Inappropriate post regarding anti GMO activist opposition to GMO's and sex. Was supposed to be a joke but it is a bit vulgar. ",2020-09-05 01:32:40.71+00,2020-09-05 01:32:40.71+00,2701,2658
36,seems like a bot!,2020-09-05 01:36:43.33+00,2020-09-05 01:36:43.33+00,2604,2691
37,This user has made multiple duplicate posts.,2020-09-05 03:23:12.04+00,2020-09-05 03:23:12.04+00,2638,2588
38,Suspicious Behaviors,2020-09-05 07:10:20.009+00,2020-09-05 07:10:20.009+00,2688,2658
39,"This account is behaving maliciously, re-posting another person's post and calling it a joke.",2020-09-05 16:31:59.446+00,2020-09-05 16:31:59.446+00,2667,2658
40,All of his posts are divisive and misinformation. He is likely a bot of some kind.,2020-09-05 19:28:39.087+00,2020-09-05 19:28:39.087+00,2610,2658
41,r2,2020-09-06 00:24:48.992+00,2020-09-06 00:24:48.992+00,2718,2658
42,r2,2020-09-06 00:25:38.676+00,2020-09-06 00:25:38.676+00,2718,2711
43,r2,2020-09-06 00:29:16.41+00,2020-09-06 00:29:16.41+00,2718,2604
44,r2,2020-09-06 02:58:16.643+00,2020-09-06 02:58:16.643+00,2704,2580
45,This user is making posts without context.,2020-09-06 03:24:33.126+00,2020-09-06 03:24:33.126+00,2638,2702
46,possible bot,2020-09-06 15:19:30.601+00,2020-09-06 15:19:30.601+00,2588,2390
47,"Post are primarily jokes, some that don't have anything to do with a specific topic, that are a bit crude. ",2020-09-06 17:54:59.42+00,2020-09-06 17:54:59.42+00,2701,2691
48,This account behaves in a deceptive or malicious manner.,2020-09-06 19:53:47.93+00,2020-09-06 19:53:47.93+00,2620,2667
49,This account behaves in a deceptive or malicious manner.,2020-09-06 19:55:00.732+00,2020-09-06 19:55:00.732+00,2620,2594
50,,2020-09-07 01:18:27.052+00,2020-09-07 01:18:27.052+00,2718,2714
51,r2,2020-09-07 02:28:21.512+00,2020-09-07 02:28:21.512+00,2704,2679
52,r2,2020-09-07 02:50:55.144+00,2020-09-07 02:50:55.144+00,2704,2456
53,r2,2020-09-07 05:44:24.706+00,2020-09-07 05:44:24.706+00,2709,2455
54,I think they are a sock puppet posting to get a reaction from people.,2020-09-07 09:29:24.146+00,2020-09-07 09:29:24.146+00,2750,2455
55,r2,2020-09-07 14:34:01.717+00,2020-09-07 14:34:01.717+00,2709,2566
56,This user has misleading or malicious behavior.,2020-09-07 14:59:08.433+00,2020-09-07 14:59:08.433+00,2620,2566
57,"User's posts and comments seem very provocative, including comments with swearing.",2020-09-07 22:42:06.353+00,2020-09-07 22:42:06.353+00,2667,2702
58,suspected bot,2020-09-08 04:06:22.725+00,2020-09-08 04:06:22.725+00,2667,2702
59,low quality posts,2020-09-08 15:51:11.157+00,2020-09-08 15:51:11.157+00,2575,2455
